additional_info,airline,arrival_time,date_of_journey,dep_time,destination,duration,price,route,source,total_stops
No info,Multiple carriers,19:15,18/05/2019,08:30,Cochin,10h 45m,7887,DEL â†’ BOM â†’ COK,Delhi,1 stop
No info,Air Asia,23:30,21/05/2019,19:55,Banglore,3h 35m,5162,CCU â†’ BBI â†’ BLR,Kolkata,1 stop
No info,Jet Airways,19:00 07 Jun,6/06/2019,19:15,Cochin,23h 45m,14714,DEL â†’ BOM â†’ COK,Delhi,1 stop
No info,IndiGo,04:35 22 May,21/05/2019,23:30,Cochin,5h 5m,8745,DEL â†’ PNQ â†’ COK,Delhi,1 stop
No info,Air India,19:15,3/06/2019,10:55,Cochin,8h 20m,12173,DEL â†’ GOI â†’ BOM â†’ COK,Delhi,2 stops
No info,Multiple carriers,01:30 10 Jun,9/06/2019,16:00,Cochin,9h 30m,13587,DEL â†’ BOM â†’ COK,Delhi,1 stop
No info,IndiGo,07:25,1/06/2019,02:00,Cochin,5h 25m,5636,DEL â†’ MAA â†’ COK,Delhi,1 stop
No info,IndiGo,19:50,24/03/2019,15:10,Banglore,4h 40m,7476,CCU â†’ HYD â†’ BLR,Kolkata,1 stop
No info,Multiple carriers,19:00,9/05/2019,10:20,Cochin,8h 40m,9794,DEL â†’ BOM â†’ COK,Delhi,1 stop
No info,Jet Airways,13:15,01/03/2019,07:00,New Delhi,6h 15m,26890,BLR â†’ BOM â†’ DEL,Banglore,1 stop
No info,Air India,23:00,18/05/2019,09:45,Cochin,13h 15m,8907,DEL â†’ BLR â†’ COK,Delhi,1 stop
No info,Vistara,20:05,12/06/2019,17:45,Kolkata,2h 20m,11982,MAA â†’ CCU,Chennai,non-stop
No info,Jet Airways,11:20,1/06/2019,08:20,Delhi,3h,8016,BLR â†’ DEL,Banglore,non-stop
No info,Vistara,23:25,9/05/2019,07:10,Banglore,16h 15m,8085,CCU â†’ DEL â†’ BLR,Kolkata,1 stop
No info,Air India,19:15 25 Jun,24/06/2019,22:00,Cochin,21h 15m,9181,DEL â†’ GOI â†’ BOM â†’ COK,Delhi,2 stops
No info,Air India,07:40 07 Mar,6/03/2019,12:00,Cochin,19h 40m,14746,DEL â†’ JAI â†’ BOM â†’ COK,Delhi,2 stops
No info,Air India,12:45,12/06/2019,10:00,Delhi,2h 45m,6961,BLR â†’ DEL,Banglore,non-stop
No info,Air India,08:55 22 May,21/05/2019,16:45,Banglore,16h 10m,14960,CCU â†’ GAU â†’ DEL â†’ BLR,Kolkata,2 stops
No check-in baggage included,SpiceJet,19:45,18/03/2019,17:15,Banglore,2h 30m,4413,CCU â†’ BLR,Kolkata,non-stop
No info,IndiGo,20:35,18/05/2019,19:05,Hyderabad,1h 30m,2754,BOM â†’ HYD,Mumbai,non-stop
In-flight meal not included,Jet Airways,09:30 16 Mar,18/03/2019,22:50,New Delhi,10h 40m,11087,BLR â†’ BOM â†’ DEL,Banglore,1 stop
